dataset,site_id,label,task_mean,task_std,heap_delta,heap_mean,heap_std,total_requests,script_requests,wasm_requests,unique_hosts
crypto,site_546,cryptojacking,0.2481144,0.16468296,-14715084,25400528.4,6142485.356,56,4,0,12
crypto,site_547,cryptojacking,0.0038049,0.002183297,864,5553128,275.739007,17,4,0,6
crypto,site_548,cryptojacking,0.0025303,0.001502416,6624,1821892,2113.999054,19,1,0,7
crypto,site_576,cryptojacking,0.0027834,0.0016781,6944,1821772,2249.181184,19,1,0,7
crypto,site_577,cryptojacking,0.003834,0.002282254,864,7385328,275.739007,28,10,0,10
crypto,site_578,cryptojacking,0.0022189,0.001246528,1100,628986,382.8785708,12,0,0,3
crypto,site_579,cryptojacking,0.4553416,0.287000196,-1376812,12358037.2,1540594.503,57,11,0,15
crypto,site_58,cryptojacking,0.0018966,0.001222203,864,504016,275.739007,3,0,0,1
crypto,site_580,cryptojacking,0.0025085,0.001469276,864,504024,275.739007,3,0,0,1
crypto,site_581,cryptojacking,0.0036297,0.001501067,864,3705716,275.739007,16,1,0,5
crypto,site_584,cryptojacking,0.0034325,0.00181305,864,3988096,275.739007,15,1,0,5
crypto,site_585,cryptojacking,0.0100991,0.006601459,30864,14238421.2,9561.196419,79,35,0,20
crypto,site_586,cryptojacking,0.1816425,0.114434298,-1534832,11171816.4,1205840.052,41,8,0,8
crypto,site_587,cryptojacking,0.0027948,0.001834877,864,504024,275.739007,3,0,0,1
crypto,site_588,cryptojacking,0.0023185,0.001544495,864,514988,275.739007,5,1,0,1
crypto,site_589,cryptojacking,0.0023001,0.001571969,864,504128,275.739007,2,0,0,1
crypto,site_592,cryptojacking,0.0021586,0.001434928,864,504016,275.739007,3,0,0,1
crypto,site_6,cryptojacking,0.0035215,0.002201598,1032,10726268,351.294748,34,12,0,1
crypto,site_7,cryptojacking,0.0233249,0.013469551,-1255864,10001764.4,808648.7359,6,2,0,4
crypto,site_8,cryptojacking,0.0788706,0.040791036,1533208,73039258.8,468174.0694,154,49,0,48
crypto,site_82,cryptojacking,0.00226,0.00134587,864,504068,275.739007,3,0,0,1
