dataset,site_id,label,task_mean,task_std,heap_delta,heap_mean,heap_std
benign,site_112,benign,0.5837244,0.3811269261317547,12877988,56852776.4,4229282.223349944
benign,site_114,benign,0.0030681,0.0016759358848118266,1236,4201162.4,409.2967627528955
benign,site_116,benign,0.0032026,0.0014545181470163925,6492,24136366.0,1827.9792121356304
benign,site_118,benign,0.0051217,0.003169438690052231,864,618568.0,275.7390070338254
benign,site_119,benign,0.0022148000000000003,0.0014763802220295421,864,504024.0,275.7390070338254
benign,site_12,benign,0.0051485,0.0030043005924840476,864,504020.0,275.7390070338254
benign,site_120,benign,0.0022002000000000002,0.0014134619061014697,864,504024.0,275.7390070338254
benign,site_121,benign,0.003772199999999999,0.0022315934127882706,912,6357792.0,296.86360504447157
benign,site_122,benign,0.0029555,0.0016686240589180055,864,2003212.0,275.7390070338254
benign,site_123,benign,0.7782728,0.31908375280819296,17976296,45020444.4,5340937.763873741
benign,site_124,benign,1.2972332,0.8299724919259432,134616,20627182.0,41077.06861011384
benign,site_125,benign,0.0840737,0.04626151340380035,15584,6694975.2,4366.079357959495
benign,site_129,benign,0.5678498,0.2803918391707576,28433692,35137121.6,10482377.690363834
benign,site_130,benign,0.0125667,0.0066813561654801784,43088,14402141.6,13003.711248716652
benign,site_131,benign,0.053992000000000005,0.03115960579339861,137692,9061008.8,45374.06317446124
benign,site_132,benign,0.0022492,0.0013605736143259578,864,504016.0,275.7390070338254
benign,site_133,benign,0.0025454,0.0016409592438570801,864,7059032.0,275.7390070338254
benign,site_134,benign,0.1418275,0.08324519661367856,1924004,25445772.0,625241.9597614991
benign,site_135,benign,0.0022010000000000003,0.0014077781785494473,864,504032.0,275.7390070338254
benign,site_137,benign,0.1864111,0.11388087626765962,245052,7986044.8,78081.3908031869
benign,site_139,benign,0.22961299999999998,0.1420807326276156,8257760,27534056.4,3178771.7155135
benign,site_14,benign,0.087073,0.03024235285158878,3143380,35481073.6,897492.8125915215
benign,site_141,benign,0.005165899999999999,0.0019466687160377342,864,9207836.0,275.7390070338254
benign,site_143,benign,0.0024668,0.001291403407150531,864,483024.0,275.7390070338254
benign,site_145,benign,0.0026742,0.0018269790803400023,864,504088.0,275.7390070338254
benign,site_147,benign,0.10573199999999998,0.06368009797574121,32584,7383223.6,9466.669522065296
benign,site_149,benign,0.2894504,0.17461637337672548,-13206448,19029917.2,5353282.041598346
benign,site_15,benign,0.1116542,0.06803822150056539,137708,10421294.4,44721.72008141011
benign,site_150,benign,0.1985537,0.12811455863253793,-11866892,47779144.8,6907518.291156279
benign,site_152,benign,0.1094441,0.06831305943441561,-2752404,9319293.2,825836.4334787852
benign,site_156,benign,0.058026,0.03314531215420968,1834156,69688698.8,591089.666816939
benign,site_157,benign,0.0024976999999999994,0.0015881293429692684,864,504016.0,275.7390070338254
benign,site_16,benign,0.0120662,0.007122435353163973,864,11607856.0,275.7390070338254
benign,site_160,benign,0.0026617999999999998,0.0016833569318477884,864,504016.0,275.7390070338254
benign,site_162,benign,0.0286507,0.017523879034334836,-4779312,19892902.0,1823015.4474002682
benign,site_165,benign,0.12027099999999999,0.09127185237519833,210724,19294002.8,76624.21848058223
benign,site_166,benign,0.0336102,0.02103301544619791,963164,17643272.4,307634.0555007524
benign,site_167,benign,0.1325515,0.07984840824618859,409536,9806456.0,128497.95162258424
benign,site_168,benign,0.4319012000000001,0.15711745748502934,3333332,8027464.0,1033434.1415486523
benign,site_169,benign,0.1294693,0.07576444580547,-954996,24361051.6,1851035.0244971162
benign,site_17,benign,0.0295142,0.017883915962674395,136780,5175178.8,50380.25927841182
benign,site_170,benign,0.0020797,0.0013908885685057592,864,504020.0,275.7390070338254
benign,site_171,benign,0.0022191,0.0013848232703128583,864,938844.0,275.7390070338254
benign,site_173,benign,0.0021897,0.0013188899916217424,864,662344.0,275.7390070338254
benign,site_174,benign,0.0022667,0.0012981906678142467,864,504020.0,275.7390070338254
benign,site_176,benign,0.00557,0.0033669386094789433,12544,14324123.2,4345.443148862955
benign,site_177,benign,0.09720140000000001,0.06209444720617135,3461896,46698743.6,1505253.5382808573
benign,site_178,benign,0.0471674,0.03388785390136118,21378664,25720535.6,6930453.100753618
benign,site_179,benign,0.05611200000000001,0.03700979781085004,22898432,25330378.4,7150527.081501548
benign,site_18,benign,0.7897472000000001,0.38009417855705185,-14543724,42249314.8,8446544.080119498
benign,site_180,benign,0.2495644,0.1744174066509418,-1216748,46444054.0,1596519.534744251
benign,site_181,benign,0.0209799,0.014872437449523867,190428,13753936.8,67549.52905949827
benign,site_183,benign,0.0045707,0.0029136556093677236,864,10373308.0,275.7390070338254
benign,site_185,benign,0.0022061,0.0014833432812400506,864,504016.0,275.7390070338254
benign,site_189,benign,0.4584676,0.2937616590497133,-2260944,11249251.6,1490146.5070312517
benign,site_19,benign,0.0252325,0.019240803212184257,269308,5192698.0,123928.76638133699
benign,site_192,benign,0.027551799999999998,0.01611491533828211,1567776,19651743.6,606115.8509392738
benign,site_195,benign,0.12992779999999998,0.10003883154535542,207620,19243007.6,75325.6952801632
benign,site_196,benign,0.0360083,0.023740172838671584,1018792,14717660.0,316308.4127468
benign,site_197,benign,0.1353529,0.08584911928662985,415004,9792253.6,130149.2771022567
benign,site_198,benign,0.4655264,0.17456895405495215,2954228,7624837.6,937298.8802011021
benign,site_199,benign,0.14009580000000002,0.08751063890956345,-232596,24716111.2,1965613.1376278903
benign,site_2,benign,0.123264,0.08124091796133276,-8129072,18215833.6,3410617.1789015317
benign,site_20,benign,0.005640399999999999,0.003316779498248263,864,504024.0,275.7390070338254
benign,site_200,benign,0.0026898999999999994,0.0014633387475222544,864,504020.0,275.7390070338254
benign,site_201,benign,0.0019812999999999996,0.001185603310555432,864,938844.0,275.7390070338254
benign,site_203,benign,0.0024579000000000003,0.0014639161485549641,864,662392.0,275.7390070338254
benign,site_204,benign,0.0029417,0.00175710591883358,864,504020.0,275.7390070338254
benign,site_206,benign,0.016376400000000003,0.006261830646065095,253980,23805924.0,74547.62966050631
benign,site_207,benign,0.11228990000000001,0.0669070690038803,-2109088,45401844.4,705384.2003185499
benign,site_208,benign,0.0476104,0.03248364099419891,21649216,25692434.0,6974302.310536589
benign,site_209,benign,0.04669140000000001,0.03151300375146743,21335984,25606349.6,6897757.348146877
benign,site_21,benign,0.09487559999999999,0.04980315142478436,879352,10051416.4,320523.2212165602
benign,site_210,benign,0.0027516000000000003,0.001874888754033156,1584,5031804.0,615.1682696628623
benign,site_211,benign,0.0882066,0.053097625118643486,4718444,62845581.6,1516919.1688199607
benign,site_212,benign,0.0036412,0.002987561273011819,-295796,2395259.6,147004.98039399888
benign,site_213,benign,0.6038342,0.4745315004329639,10668400,24146024.8,4107562.085160608
benign,site_214,benign,0.0019916,0.0012681410173951476,864,504024.0,275.7390070338254
benign,site_215,benign,0.0019737000000000005,0.0012654468815402724,864,504492.0,275.7390070338254
benign,site_216,benign,0.0020936,0.0012782215926825833,864,504020.0,275.7390070338254
benign,site_217,benign,1.6037244000000002,0.9831779952806307,-41921724,51771656.0,12101762.234733518
benign,site_218,benign,0.029825100000000004,0.01046372687382464,184320,3546469.2,55061.35100558285
benign,site_219,benign,0.0828401,0.041858426925650234,1795744,70212430.0,528533.8929718699
benign,site_221,benign,0.3243762,0.14405448584879263,-1088348,55874745.2,2839734.985583859
benign,site_222,benign,0.0021733000000000004,0.0013884392712682828,864,625884.0,275.7390070338254
benign,site_223,benign,0.005121100000000001,0.0029576171642049956,1596,7558806.0,621.021738749941
benign,site_224,benign,0.0038405999999999996,0.0022205550297166696,4328,7705904.0,1976.667903316083
benign,site_225,benign,0.0026188,0.001917945296404462,864,4986476.0,275.7390070338254
benign,site_227,benign,0.0056966000000000004,0.003634087126088201,952,4233772.0,314.7824645687876
benign,site_228,benign,0.33955060000000004,0.11017843217181846,-6790440,54714624.0,6120906.657663846
benign,site_229,benign,0.002332,0.0015767787416121515,864,504020.0,275.7390070338254
benign,site_230,benign,0.0032488000000000005,0.002286444698653348,864,4811244.0,275.7390070338254
benign,site_231,benign,0.005981099999999999,0.003288464518586144,1384,2277774.4,439.11255960174947
benign,site_232,benign,0.005608999999999999,0.003591948217889562,19944,18879512.0,8730.195874091256
benign,site_233,benign,0.0032483,0.0021252545282859654,864,5087672.0,275.7390070338254
benign,site_234,benign,0.10114490000000001,0.0734015381275488,672932,17972424.0,202489.69067288341
benign,site_235,benign,0.063939,0.033530661681511746,652684,49306103.2,197384.97322987887
benign,site_236,benign,0.051780099999999996,0.03800583873419978,21260128,25491820.0,6907986.7150505725
benign,site_239,benign,0.006712999999999999,0.0043513152264573985,24452,6269272.4,7804.0408917432
benign,site_24,benign,3.0308757,1.9038948813629941,1200248,14827442.8,1940063.682657907
benign,site_240,benign,0.010607099999999998,0.006910656342924311,2664,3429528.0,850.1952716876283
benign,site_241,benign,0.040132,0.02822438372046412,261456,16785199.6,94038.6218946237
benign,site_242,benign,0.0024193,0.0013970482489878435,864,5771328.0,275.7390070338254
benign,site_244,benign,0.08864210000000002,0.04376350396723279,-5455784,16655269.6,1698322.401893068
benign,site_28,benign,0.0829382,0.05263863877761278,115924,42594848.4,36909.51970210396
benign,site_29,benign,0.0195864,0.012739248378142254,2016,781752.0,653.8109818594362
benign,site_3,benign,0.0148942,0.011138305686234331,269172,5177110.0,121202.10393223379
benign,site_31,benign,0.37424840000000004,0.229286601168145,112888,16143914.0,38651.81513978354
benign,site_32,benign,0.0048454,0.0031510440555473037,864,504028.0,275.7390070338254
benign,site_33,benign,0.0083301,0.004698024402874043,2980,8902544.8,988.2700845416703
benign,site_34,benign,0.6539149999999999,0.41992302546157195,-18071072,36364179.6,9747592.358021453
benign,site_35,benign,3.3749849000000003,1.200609687886821,27089132,65895320.0,9502148.515752845
benign,site_36,benign,0.012634499999999998,0.008703372785880195,133608,4653217.6,62081.44622542229
benign,site_37,benign,0.2544339,0.19079804554525706,606164,17967468.0,257612.27416720655
benign,site_38,benign,0.008292699999999998,0.004724373567998196,4916,4250499.6,2083.4689918498907
benign,site_4,benign,3.4562104,2.2524623642922514,36457796,119258442.8,11276223.035989886
benign,site_40,benign,0.0049258999999999995,0.002786624138630827,864,6143108.0,275.7390070338254
