Model,ROC_AUC,F1,PR_AUC
LogisticRegression,0.7143899782135077,0.6012278991934447,0.487678260465452
RandomForest,0.8351685859528997,0.6567608269695556,0.7492798790715602
OneClassSVM,0.5395289967838988,0.08405797101449275,0.3302752051780824
