task_mean,task_std,heap_delta,heap_mean,heap_std,total_requests,script_requests,wasm_requests,unique_hosts,label
0.004717952936498648,0.00278458843253891,864.0,13.130381148997913,5.623074849029265,1.0986122886681098,0.6931471805599453,0.0,0.6931471805599453,1
0.006382786609222423,0.0030556168442716367,864.0,13.36367842251791,5.623074849029265,2.6390573296152584,0.0,0.0,1.9459101490553132,1
0.0033989171311932034,0.001634734093825127,6080.0,14.916044798499076,7.453506188169555,2.6390573296152584,1.0986122886681098,0.0,1.9459101490553132,1
0.003457715206858751,0.001512266947707964,864.0,16.138399427168206,5.623074849029265,3.8066624897703196,2.5649493574615367,0.0,2.70805020110221,1
0.006945722525039967,0.003842698368439905,32712.0,14.821649672053713,9.197687918903792,2.4849066497880004,0.6931471805599453,0.0,1.791759469228055,1
0.0019161629865528079,0.0012719047860629358,864.0,13.130468442444808,5.623074849029265,1.0986122886681098,0.0,0.0,0.6931471805599453,1
0.0023065378951140705,0.0012560618239638149,864.0,13.087517241818665,5.623074849029265,1.6094379124341003,0.0,0.0,0.6931471805599453,1
0.005341210306140778,0.003421407305131071,31248.0,14.821608428375454,9.153304342870447,2.70805020110221,0.6931471805599453,0.0,1.791759469228055,1
0.007266336120045217,0.004410073315833564,31248.0,14.823813747219255,9.217131914154802,2.70805020110221,0.6931471805599453,0.0,1.791759469228055,1
0.02051688195949774,0.008269335603681592,2144.0,14.789033056543547,6.502663066189871,2.3978952727983707,0.6931471805599453,0.0,1.6094379124341003,1
0.007358062937000368,0.0041176388773233475,32428.0,14.725613947654333,9.192220760547928,2.6390573296152584,0.6931471805599453,0.0,1.791759469228055,1
0.007640834334786201,0.004273999438243469,32324.0,14.73139968920769,9.26440125764744,2.772588722239781,0.6931471805599453,0.0,1.9459101490553132,1
0.008298373062536635,0.004269732704147063,32428.0,14.737486140411791,9.18995227420961,2.6390573296152584,0.6931471805599453,0.0,1.791759469228055,1
0.018086547830603757,0.012601291178531315,-128108.0,14.80362850876502,11.14689576888897,3.258096538021482,2.3978952727983707,0.0,1.9459101490553132,1
0.24545424646337669,0.16455185585200593,864.0,14.004533775050955,5.623074849029265,2.6390573296152584,0.6931471805599453,0.0,1.3862943611198906,1
0.0024571786623619634,0.0012144063100688195,864.0,13.79338457376347,5.623074849029265,2.70805020110221,0.0,0.0,2.0794415416798357,1
0.00710063074768951,0.0038274051314029956,32412.0,14.730904487831692,9.192481157146071,2.6390573296152584,0.6931471805599453,0.0,1.791759469228055,1
0.00204720304912058,0.001193879042715659,864.0,13.794720943756717,5.623074849029265,1.3862943611198906,0.0,0.0,0.6931471805599453,1
0.00223709583410965,0.0013846539241435434,864.0,13.362798169828567,5.623074849029265,2.6390573296152584,0.0,0.0,1.791759469228055,1
0.0028838377398126063,0.0018699405708578302,864.0,14.914781629587234,5.623074849029265,3.4339872044851463,2.3978952727983707,0.0,1.6094379124341003,1
0.005538732860755567,0.0025101259961480184,8608.0,16.296677172531584,7.929048691338748,3.9512437185814275,2.995732273553991,0.0,2.70805020110221,1
0.051690810367603125,0.03393158592464878,21559920.0,17.030799212623688,15.738300379801228,2.5649493574615367,0.0,0.0,1.3862943611198906,1
0.05456166743267536,0.03397733777050938,21359660.0,17.043256978506108,15.74654635747412,2.4849066497880004,0.0,0.0,1.3862943611198906,1
0.0049390826254834585,0.002793283149685119,9104.0,15.324612598935303,8.192843803466985,3.4011973816621555,1.6094379124341003,0.0,1.791759469228055,1
0.004734375138779045,0.002863819351971444,35720.0,14.627741172740217,9.383701436531718,2.772588722239781,1.3862943611198906,0.0,1.6094379124341003,1
0.002312623822927503,0.0013004110988536484,864.0,13.325279731305221,5.623074849029265,2.0794415416798357,0.0,0.0,1.3862943611198906,1
0.010087945146263124,0.0051730516661502544,5352.0,16.344878093469898,7.458674268298755,3.8066624897703196,1.9459101490553132,0.0,2.5649493574615367,1
0.12979891057176868,0.08152879305530754,111960.0,16.594710862942463,10.563872410269955,4.8283137373023015,4.499809670330265,0.0,1.791759469228055,1
0.00234983696930881,0.0016037982278065365,864.0,13.130381148997913,5.623074849029265,1.3862943611198906,0.0,0.0,0.6931471805599453,1
0.0029803543285765047,0.001777599134082734,864.0,13.733129535228368,5.623074849029265,2.5649493574615367,0.6931471805599453,0.0,1.3862943611198906,1
0.001851984018437757,0.0011383328532453612,864.0,15.454021912153125,5.623074849029265,4.3694478524670215,2.0794415416798357,0.0,1.6094379124341003,1
0.0027011486111823777,0.001738619724429862,864.0,13.1303890850807,5.623074849029265,1.3862943611198906,0.0,0.0,0.6931471805599453,1
0.0015859417293221931,0.0009728356419194798,864.0,13.130658874428436,5.623074849029265,2.0794415416798357,0.0,0.0,1.0986122886681098,1
0.006728214714758222,0.003665825643249523,32440.0,14.733353764126356,9.192551707592557,2.772588722239781,0.6931471805599453,0.0,1.9459101490553132,1
0.0022500667002474,0.0014193612301091286,864.0,13.130381148997913,5.623074849029265,1.3862943611198906,0.0,0.0,0.6931471805599453,1
0.0029136511928513223,0.001818993627539662,864.0,13.130381148997913,5.623074849029265,1.3862943611198906,0.0,0.0,0.6931471805599453,1
0.025287752532629312,0.015313332139808206,-1747888.0,16.307037064735788,13.975322235209438,3.6888794541139363,1.9459101490553132,0.0,2.70805020110221,1
0.0017788169665966043,0.0010302451152031306,864.0,13.091436019117019,5.623074849029265,1.791759469228055,0.0,0.0,1.0986122886681098,1
0.0026750189444049526,0.0014497705745933757,864.0,14.607382536424437,5.623074849029265,3.091042453358316,1.791759469228055,0.0,2.0794415416798357,1
0.002617970123764137,0.0017650443922776,864.0,13.130365276643387,5.623074849029265,1.3862943611198906,0.0,0.0,0.6931471805599453,1
0.0022758083824677548,0.001517893416695346,864.0,13.087517241818665,5.623074849029265,1.6094379124341003,0.0,0.0,0.6931471805599453,1
0.005929485801892791,0.0036512470771491424,30192.0,14.826744493224234,9.206431122306983,2.833213344056216,0.6931471805599453,0.0,1.9459101490553132,1
0.0030095667075086003,0.0017368008877887435,864.0,13.130373212852142,5.623074849029265,1.3862943611198906,0.0,0.0,0.6931471805599453,1
0.0072168954498817535,0.003966874539018446,32376.0,14.730744651793017,9.190277163601703,2.6390573296152584,0.6931471805599453,0.0,1.791759469228055,1
0.004110340962713569,0.0019501292612710394,864.0,16.055261596391947,5.623074849029265,3.7612001156935624,2.302585092994046,0.0,2.6390573296152584,1
0.0029833453963508125,0.001900577757340444,864.0,13.130373212852142,5.623074849029265,1.3862943611198906,0.0,0.0,0.6931471805599453,1
0.002644201017165434,0.0018286340291985975,864.0,13.130420828782059,5.623074849029265,1.6094379124341003,0.0,0.0,1.0986122886681098,1
0.004899079886982195,0.002298175171267752,864.0,16.033029689511068,5.623074849029265,3.8066624897703196,2.302585092994046,0.0,2.70805020110221,1
0.02517161979931784,0.014987435196833376,839064.0,16.21709652087048,12.596895251865194,3.6888794541139363,1.9459101490553132,0.0,2.70805020110221,1
0.04691287936292249,0.03428836718624785,21335836.0,17.054824470925766,15.744923561334693,2.6390573296152584,0.0,0.0,1.3862943611198906,1
0.0022875814891602734,0.0013722819902179232,864.0,13.36314407579905,5.623074849029265,2.6390573296152584,0.0,0.0,1.791759469228055,1
0.003354965803145924,0.0018283625260957029,864.0,16.04278238349718,5.623074849029265,3.784189633918261,2.302585092994046,0.0,2.6390573296152584,1
0.02276451109431107,0.013234199386587911,1320232.0,16.432722446874408,13.00361668172674,3.6888794541139363,1.9459101490553132,0.0,2.70805020110221,1
0.048774925958092956,0.03389606426062551,21285092.0,17.06166279210441,15.748105439424384,2.6390573296152584,0.0,0.0,1.3862943611198906,1
0.0025751813723717738,0.0013779991229487692,864.0,16.528466108145093,5.623074849029265,3.258096538021482,1.791759469228055,0.0,2.3978952727983707,1
