dataset,site_id,label,total_requests,script_requests,wasm_requests,unique_hosts
benign,site_18,benign,104,64,0,12
benign,site_180,benign,135,31,0,39
benign,site_181,benign,67,5,0,15
benign,site_183,benign,84,43,0,8
benign,site_185,benign,3,0,0,1
benign,site_189,benign,28,5,0,9
benign,site_19,benign,40,27,0,3
benign,site_192,benign,75,35,0,7
benign,site_195,benign,155,109,0,8
benign,site_196,benign,111,49,0,11
benign,site_197,benign,100,10,0,13
benign,site_198,benign,39,11,0,6
benign,site_199,benign,63,21,0,12
benign,site_2,benign,98,42,0,24
benign,site_20,benign,3,0,0,1
benign,site_200,benign,4,0,0,2
benign,site_201,benign,6,0,0,2
benign,site_203,benign,13,4,0,3
benign,site_204,benign,5,0,0,2
benign,site_206,benign,69,24,0,10
benign,site_207,benign,170,65,0,55
benign,site_208,benign,13,0,0,3
benign,site_209,benign,11,0,0,2
benign,site_21,benign,70,2,0,8
benign,site_210,benign,29,1,0,7
benign,site_211,benign,183,44,0,83
benign,site_212,benign,11,4,0,4
benign,site_213,benign,196,102,0,21
benign,site_214,benign,4,0,0,2
benign,site_215,benign,3,0,0,2
benign,site_216,benign,4,0,0,2
benign,site_217,benign,195,130,0,14
benign,site_218,benign,24,8,0,2
benign,site_219,benign,154,49,0,49
benign,site_221,benign,214,111,0,44
benign,site_222,benign,4,0,0,1
benign,site_223,benign,40,7,0,11
benign,site_224,benign,6,0,0,2
benign,site_225,benign,9,1,0,3
benign,site_227,benign,9,0,0,4
benign,site_228,benign,158,75,0,19
benign,site_229,benign,6,0,0,2
benign,site_230,benign,7,1,0,2
benign,site_231,benign,87,48,0,5
benign,site_232,benign,46,2,0,7
benign,site_233,benign,24,3,0,5
benign,site_234,benign,82,17,0,27
benign,site_235,benign,186,100,0,52
benign,site_236,benign,17,0,0,5
benign,site_239,benign,18,4,0,5
benign,site_24,benign,67,51,0,5
benign,site_240,benign,36,16,0,7
benign,site_241,benign,64,30,0,11
benign,site_242,benign,11,1,0,4
benign,site_244,benign,79,37,0,29
benign,site_28,benign,147,75,0,26
benign,site_29,benign,7,2,0,2
benign,site_3,benign,40,27,0,3
benign,site_31,benign,128,90,0,4
benign,site_32,benign,3,0,0,1
benign,site_33,benign,31,7,0,11
benign,site_34,benign,32,4,0,11
benign,site_35,benign,183,119,0,9
benign,site_36,benign,17,8,0,3
benign,site_37,benign,112,29,0,46
benign,site_38,benign,10,0,0,4
benign,site_4,benign,136,35,0,33
benign,site_40,benign,34,1,0,6
benign,site_42,benign,3,0,0,1
benign,site_43,benign,145,16,0,11
benign,site_45,benign,103,1,0,8
benign,site_46,benign,24,6,0,5
benign,site_48,benign,45,4,0,10
benign,site_49,benign,126,66,0,25
benign,site_5,benign,3,0,0,1
benign,site_50,benign,206,59,0,55
benign,site_51,benign,17,8,0,3
benign,site_53,benign,34,0,0,5
benign,site_55,benign,4,0,0,2
benign,site_56,benign,18,5,0,10
benign,site_57,benign,80,55,0,5
benign,site_58,benign,142,96,0,18
benign,site_59,benign,23,3,0,13
benign,site_6,benign,175,33,0,33
benign,site_62,benign,145,56,0,28
benign,site_64,benign,14,2,0,4
benign,site_65,benign,60,16,0,7
benign,site_67,benign,172,59,0,29
benign,site_68,benign,9,0,0,2
benign,site_69,benign,177,107,0,10
benign,site_7,benign,36,12,0,2
benign,site_70,benign,12,0,0,3
benign,site_72,benign,3,0,0,1
benign,site_74,benign,51,14,0,8
benign,site_76,benign,7,0,0,4
benign,site_77,benign,15,6,0,4
benign,site_78,benign,118,13,0,26
benign,site_79,benign,17,3,0,4
benign,site_8,benign,139,16,0,9
benign,site_81,benign,32,7,0,11
benign,site_82,benign,4,0,0,1
benign,site_83,benign,131,71,0,24
benign,site_84,benign,175,55,0,50
benign,site_86,benign,54,22,0,13
benign,site_87,benign,12,2,0,5
benign,site_88,benign,171,51,0,51
benign,site_89,benign,55,9,0,16
benign,site_9,benign,137,45,0,23
benign,site_90,benign,65,37,0,8
benign,site_92,benign,146,26,0,47
benign,site_93,benign,36,6,0,15
benign,site_94,benign,92,30,0,16
benign,site_97,benign,56,23,0,11
benign,site_98,benign,3,0,0,1
benign,site_99,benign,68,29,0,24
